Song,Artist,Year,Genres,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Split
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023,"['art pop', 'pop']",0.959,0.444,222370,0.0911,1.05e-06,0,0.098,-17.665,1,0.0307,78.403,4,train
lovely (with Khalid),"Billie Eilish, Khalid",2018,"['art pop', 'pop']",0.934,0.351,200186,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,4,train
when the party's over,Billie Eilish,2019,"['art pop', 'pop']",0.978,0.367,196077,0.111,3.97e-05,4,0.0897,-14.084,1,0.0972,82.642,4,train
hotline (edit),Billie Eilish,2023,"['art pop', 'pop']",0.816,0.516,60720,0.254,0.855,9,0.189,-16.027,0,0.0589,56.829,4,train
Happier Than Ever,Billie Eilish,2021,"['art pop', 'pop']",0.767,0.332,298899,0.225,0.00349,0,0.128,-8.697,1,0.0348,81.055,3,train
TV,Billie Eilish,2022,"['art pop', 'pop']",0.83,0.412,281381,0.236,0.00653,4,0.147,-15.159,0,0.0379,140.214,4,train
everything i wanted,Billie Eilish,2019,"['art pop', 'pop']",0.902,0.704,245426,0.225,0.657,6,0.106,-14.454,0,0.0994,120.006,4,train
bad guy,Billie Eilish,2019,"['art pop', 'pop']",0.328,0.701,194088,0.425,0.13,7,0.1,-10.965,1,0.375,135.128,4,train
Bored,Billie Eilish,2017,"['art pop', 'pop']",0.896,0.614,180933,0.318,0.00239,7,0.0795,-12.695,1,0.0478,119.959,4,train
ocean eyes,Billie Eilish,2016,"['art pop', 'pop']",0.819,0.475,200560,0.37,0.0577,4,0.0841,-7.725,0,0.0361,144.828,4,train
i love you,Billie Eilish,2019,"['art pop', 'pop']",0.952,0.421,291796,0.131,0.00453,0,0.109,-18.435,1,0.0382,137.446,4,train
watch,Billie Eilish,2017,"['art pop', 'pop']",0.333,0.441,177523,0.599,0.00198,0,0.103,-8.985,1,0.225,165.212,4,train
Billie Bossa Nova,Billie Eilish,2021,"['art pop', 'pop']",0.222,0.895,196731,0.389,0.0346,7,0.105,-11.036,0,0.11,110.023,4,train
idontwannabeyouanymore,Billie Eilish,2017,"['art pop', 'pop']",0.737,0.483,203569,0.412,0.0,7,0.116,-8.461,1,0.0402,170.163,3,train
Halley's Comet,Billie Eilish,2021,"['art pop', 'pop']",0.961,0.403,234761,0.159,0.0121,1,0.34,-16.728,0,0.104,72.38,4,train
bellyache,Billie Eilish,2017,"['art pop', 'pop']",0.46,0.695,179172,0.573,0.0734,4,0.482,-8.597,0,0.106,99.939,4,train
you should see me in a crown,Billie Eilish,2019,"['art pop', 'pop']",0.462,0.678,180953,0.533,0.219,4,0.139,-10.485,1,0.186,150.455,4,train
ocean eyes,Billie Eilish,2017,"['art pop', 'pop']",0.816,0.511,200379,0.363,0.0317,4,0.084,-7.65,0,0.041,144.892,4,train
listen before i go,Billie Eilish,2019,"['art pop', 'pop']",0.935,0.319,242652,0.0561,0.00384,0,0.388,-23.023,1,0.045,79.764,3,train
bury a friend,Billie Eilish,2019,"['art pop', 'pop']",0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,120.046,4,train
hostage,Billie Eilish,2017,"['art pop', 'pop']",0.868,0.427,229426,0.123,3.12e-05,9,0.0732,-15.228,0,0.0497,129.565,5,train
my strange addiction,Billie Eilish,2019,"['art pop', 'pop']",0.35,0.939,179889,0.305,0.000169,8,0.105,-10.952,0,0.354,100.029,4,train
wish you were gay,Billie Eilish,2019,"['art pop', 'pop']",0.39,0.853,221543,0.351,9.38e-06,7,0.752,-10.198,1,0.241,118.028,4,train
all the good girls go to hell,Billie Eilish,2019,"['art pop', 'pop']",0.283,0.726,168840,0.444,0.143,8,0.177,-8.922,0,0.372,185.044,4,train
The 30th,Billie Eilish,2022,"['art pop', 'pop']",0.929,0.387,216448,0.135,0.0,7,0.0948,-14.398,1,0.051,82.987,4,train
bitches broken hearts,Billie Eilish,2018,"['art pop', 'pop']",0.921,0.778,176472,0.422,0.00924,0,0.0958,-10.114,1,0.0482,120.033,4,train
NDA,Billie Eilish,2021,"['art pop', 'pop']",0.341,0.765,195777,0.373,0.525,8,0.112,-9.921,1,0.0713,85.016,4,train
No Time To Die,Billie Eilish,2020,"['art pop', 'pop']",0.917,0.38,242265,0.219,0.0104,4,0.0827,-13.273,0,0.0358,73.537,4,train
COPYCAT,Billie Eilish,2017,"['art pop', 'pop']",0.353,0.679,194711,0.388,9.25e-05,4,0.341,-10.977,0,0.0932,124.909,4,train
I Didn't Change My Number,Billie Eilish,2021,"['art pop', 'pop']",0.612,0.849,158463,0.48,0.269,9,0.295,-5.835,1,0.226,142.021,4,train
ilomilo,Billie Eilish,2019,"['art pop', 'pop']",0.724,0.855,156371,0.423,0.469,5,0.0896,-15.044,0,0.0585,120.02,4,train
Happier Than Ever - Edit,Billie Eilish,2021,"['art pop', 'pop']",0.0468,0.334,151444,0.599,0.000392,0,0.205,-5.742,1,0.0365,161.74,3,train
my boy,Billie Eilish,2017,"['art pop', 'pop']",0.472,0.692,170852,0.394,0.000191,11,0.117,-8.745,0,0.207,89.936,4,train
Therefore I Am,Billie Eilish,2021,"['art pop', 'pop']",0.227,0.879,173539,0.365,0.135,2,0.0583,-7.781,1,0.0924,94.016,4,train
Getting Older,Billie Eilish,2021,"['art pop', 'pop']",0.974,0.599,244221,0.128,0.121,10,0.115,-17.261,1,0.109,159.679,4,train
Your Power,Billie Eilish,2021,"['art pop', 'pop']",0.932,0.632,245897,0.284,0.000476,9,0.233,-14.025,0,0.0801,129.642,4,train
xanny,Billie Eilish,2019,"['art pop', 'pop']",0.751,0.521,243725,0.125,0.00207,9,0.265,-17.832,1,0.239,111.554,4,train
Six Feet Under,Billie Eilish,2016,"['art pop', 'pop']",0.807,0.576,189613,0.307,0.000355,11,0.0792,-12.732,0,0.0428,67.513,4,train
Male Fantasy,Billie Eilish,2021,"['art pop', 'pop']",0.863,0.687,194887,0.288,0.0,2,0.0986,-10.415,1,0.045,110.927,4,train
Therefore I Am,Billie Eilish,2020,"['art pop', 'pop']",0.218,0.889,174321,0.34,0.13,11,0.055,-7.773,0,0.0697,94.009,4,train
my future,Billie Eilish,2021,"['art pop', 'pop']",0.814,0.456,210005,0.285,0.143,8,0.307,-10.755,1,0.0979,104.89,4,train
Lost Cause,Billie Eilish,2021,"['art pop', 'pop']",0.702,0.526,212496,0.334,0.00782,10,0.0586,-8.491,0,0.251,74.966,4,train
goodbye,Billie Eilish,2019,"['art pop', 'pop']",0.837,0.153,119410,0.138,0.55,6,0.254,-21.877,0,0.0503,74.318,3,train
Oxytocin,Billie Eilish,2021,"['art pop', 'pop']",0.0904,0.757,210233,0.598,0.551,11,0.15,-7.777,1,0.058,124.951,4,train
8,Billie Eilish,2019,"['art pop', 'pop']",0.698,0.735,173202,0.235,0.00604,3,0.107,-13.239,1,0.315,62.446,4,train
GOLDWING,Billie Eilish,2021,"['art pop', 'pop']",0.755,0.654,151537,0.303,0.159,5,0.0957,-13.943,0,0.126,160.095,4,train
my future,Billie Eilish,2020,"['art pop', 'pop']",0.795,0.444,208155,0.309,0.132,8,0.352,-10.956,1,0.062,104.745,4,train
Everybody Dies,Billie Eilish,2021,"['art pop', 'pop']",0.928,0.275,206623,0.155,0.176,7,0.0888,-17.285,0,0.0674,65.136,3,train
Not My Responsibility,Billie Eilish,2021,"['art pop', 'pop']",0.454,0.468,227680,0.13,0.927,1,0.0819,-18.031,1,0.0571,115.039,4,train
OverHeated,Billie Eilish,2021,"['art pop', 'pop']",0.527,0.777,214059,0.522,0.838,8,0.0968,-12.496,0,0.0535,115.008,4,train
Song,Artist,Year,Genres,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Split
One More Time,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.0194,0.613,320357,0.697,0.0,2,0.332,-8.618,1,0.133,122.746,4,train
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",2013,"['electro', 'filter house', 'rock']",0.0426,0.794,248413,0.811,1.07e-06,6,0.101,-8.966,0,0.038,116.047,4,train
Get Lucky (feat. Pharrell Williams and Nile Rodgers),"Daft Punk, Pharrell Williams, Nile Rodgers",2013,"['electro', 'filter house', 'rock']",0.0378,0.81,369627,0.793,1.77e-06,6,0.072,-9.404,0,0.0403,116.05,4,train
Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",2013,"['electro', 'filter house', 'rock']",0.0422,0.775,337560,0.585,0.619,10,0.077,-9.516,0,0.0271,109.942,4,train
Around the World,Daft Punk,1997,"['electro', 'filter house', 'rock']",0.00356,0.956,429533,0.795,0.889,7,0.0906,-5.311,1,0.15,121.294,4,train
"Harder, Better, Faster, Stronger",Daft Punk,2001,"['electro', 'filter house', 'rock']",0.0427,0.817,224693,0.716,0.00263,6,0.358,-8.898,0,0.144,123.474,4,train
Something About Us,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.44,0.875,232667,0.475,0.72,9,0.046,-12.673,0,0.0986,99.958,4,train
Veridis Quo,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.479,0.605,345187,0.687,0.949,9,0.104,-13.928,0,0.045,106.896,4,train
Lose Yourself to Dance (feat. Pharrell Williams),"Daft Punk, Pharrell Williams",2013,"['electro', 'filter house', 'rock']",0.0839,0.832,353893,0.659,0.00114,10,0.0753,-7.828,0,0.057,100.163,4,train
Digital Love,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.048,0.644,301373,0.664,0.867,9,0.342,-8.398,1,0.0332,124.726,4,train
Face to Face,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.00134,0.874,240173,0.437,0.0296,1,0.0293,-10.235,0,0.0708,117.791,4,train
End of Line,Daft Punk,2010,"['electro', 'filter house', 'rock']",0.000594,0.182,156486,0.449,0.738,2,0.283,-11.344,1,0.0305,195.86,4,train
Doin' it Right (feat. Panda Bear),"Daft Punk, Panda Bear",2013,"['electro', 'filter house', 'rock']",0.388,0.804,251293,0.451,2.17e-05,6,0.0924,-8.207,1,0.0949,178.061,4,train
Voyager,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.288,0.669,227867,0.743,0.805,7,0.309,-11.488,1,0.0494,119.881,4,train
Da Funk,Daft Punk,1997,"['electro', 'filter house', 'rock']",0.00196,0.806,328680,0.7,0.891,0,0.267,-5.269,0,0.0752,111.215,4,train
Aerodynamic,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.329,0.624,212547,0.911,0.861,7,0.0727,-7.482,1,0.0524,122.902,4,train
Give Life Back to Music,Daft Punk,2013,"['electro', 'filter house', 'rock']",0.00286,0.788,275387,0.616,0.549,9,0.0952,-10.671,0,0.0337,119.037,4,train
Robot Rock,Daft Punk,2005,"['electro', 'filter house', 'rock']",6.94e-06,0.59,287720,0.787,0.845,7,0.0293,-5.766,1,0.0512,111.926,4,train
Technologic,Daft Punk,2005,"['electro', 'filter house', 'rock']",0.000369,0.812,284280,0.516,1.09e-05,9,0.0991,-6.963,1,0.224,127.498,4,train
Giorgio by Moroder,Daft Punk,2013,"['electro', 'filter house', 'rock']",0.0692,0.74,544627,0.682,0.53,9,0.381,-10.42,0,0.0504,113.201,4,train
Fragments of Time (feat. Todd Edwards),"Daft Punk, Todd Edwards",2013,"['electro', 'filter house', 'rock']",0.041,0.807,279773,0.51,0.115,0,0.104,-9.729,1,0.0433,130.118,4,train
Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],"Daft Punk, Julian Casablancas, The Voidz",2023,"['electro', 'filter house', 'rock']",0.11,0.636,239213,0.635,0.643,1,0.61,-10.532,1,0.0534,110.031,4,train
Crescendolls,Daft Punk,2001,"['electro', 'filter house', 'rock']",0.0035,0.697,211640,0.75,0.922,5,0.0889,-8.503,0,0.0721,124.048,4,train
